id_store_locator,latitude,longitude,store_name,retek_code,storeId,shop_opens_days,open_timings,closing_time,pincode,search_word,address,phone_number,store_manager_contact,whatsapp_number,store_image,gender,is_omnienable,hyperlocal_enabled,alteration,is_active,id_brand,distance,is_express_delivery_flag,static_msg,state,brand,timeLineMsg
8147,14.4336,79.980202,Allen Solly Mini Byps road,39648,39648,,,,524003,,"Allen Solly Sy No. 665, Plot No. 16, Gomathy Nagar, Mini Bypass Road, Nellore - 524003, A.P.",9553565657,,,https://imagescdn.allensolly.com/img/app/brand/production/2.2.jpg,"Mens, Womens, Kids",0,1,1,1,2,9.949312077805995,0,,Andhra Pradesh,allensolly,
4611,16.5012,80.648102,Allen Solly Imperial Mall,34538,34538,,,,520008,"520008, 520010","Allen Solly, VSN one, VSN estates, D. No: 59-13-34/1A,Gayathri Nagar, Vijawada-520008",8897729074,8897729074.0,,https://imagescdn.allensolly.com/img/app/brand/production/2.2.jpg,"Mens, Womens, Kids",0,0,1,1,2,6.183544786499481,0,,Andhra Pradesh,allensolly,
9,16.506174,80.648018,AS Mainline Ripples Mall,32910,32910,,,,520010,"Ripples Mall, Vijayawada,","Allen Solly, Ripples Mall , Shop no: G0 6 GF, Mg road, Vijayawada -520010. ph no- 0866 2464025",8662464025,7396175198.0,,https://imagescdn.allensolly.com/img/app/brand/production/2.2.jpg,,0,0,0,1,2,6.504828881291941,0,,Andhra Pradesh,allensolly,
96,16.500999,80.644203,Allen Solly MOGALARAJAPURAM,34895,34895,,,,520010,"MG Road, Vijayawada,520010, 520008","Allen SollyStore, Shop No. 6/A, Ground  Floor, Old NTS No.78, New NTS No.1148 Part, Door No.40-1-154, Mogalarajapuram, Vijayawada-520010.",9014317174,8121314715.0,,https://imagescdn.allensolly.com/img/app/brand/production/2.2.jpg,Mens,0,1,1,1,2,6.526559221247881,0,,Andhra Pradesh,allensolly,
7350,18.300699,83.894096,Allen Solly Palakonda Road,39951,39951,,,,532001,,"Allen Solly DR NO-5-1-86, PALAKONDA ROAD, NEAR GANDHI STATUE , SRIKAKULAM  - 532001",9133266251,9133266251.0,,https://imagescdn.allensolly.com/img/app/brand/production/2.2.jpg,Mens,0,0,1,1,2,7.897247244648351,0,,Andhra Pradesh,allensolly,
5,17.715778,83.302109,AS Mainline DABAGARDENS,31932,31932,,,,530020,"Dhaba garden, Vizag,","Allen Solly, City plaza building, 30-15-136, Dhaba garden main rd, dhaba garden Vizag-530020",8912575889,9963480825.0,,https://imagescdn.allensolly.com/img/app/brand/production/2.2.jpg,,0,0,0,1,2,9.454922034773094,0,,Andhra Pradesh,allensolly,
57,17.725191,83.316093,Allen Solly VISAKHAPATAM,32990,32990,,,,530003,"Siripuram, Vizag,530003, 530016","Allen Solly, Shop No 10-1-42 / A, CBM compound, Up lands raod, Siripuram main road, Visakhapatam - 530003",0891-6662242,9063362242.0,,https://imagescdn.allensolly.com/img/app/brand/production/2.2.jpg,Mens,0,0,0,1,2,10.528064037811216,0,,Andhra Pradesh,allensolly,
7739,17.725201,83.316101,Allen Solly,34576,34576,,,,530003,,"Allensolly shop no:10-1-42/A, uplands road,CBM compound,siripuram, vishakapatnam-530003
",0891-4816356,9014317174.0,9014317174.0,https://imagescdn.allensolly.com/img/app/brand/production/2.2.jpg,,0,1,1,1,2,10.528583265259892,0,,Andhra Pradesh,allensolly,
7351,18.106001,83.407898,"Allen Solly 100 ft road, AP",39654,39654,,,,535001,,"Allen Solly, Plot No. 2, 100 ft Ring Road,Opp Bhashyam School, Vizianagaram - 535001, A.P.",7036152681,7036152681.0,,https://imagescdn.allensolly.com/img/app/brand/production/2.2.jpg,"Mens, Kids",0,1,1,1,2,1.270307946753458,0,,Andhra Pradesh,allensolly,
4211,16.314209,80.435028,Allen Solly LAKSHMIPURAM,34531,34531,,,,522007,"522006, 522004","Allen Solly, Ground floor: D.No.5-87-55, West Krishna Plaza, Main Road, Lakshmipuram, Guntur - 522007",0863-2239595,9394009595.0,,https://imagescdn.allensolly.com/img/app/brand/production/2.2.jpg,Mens,0,0,0,1,2,11.557629803277026,0,,Andhra Pradesh,allensolly,
61,17.006699,81.78521,Allen Solly DANAVAIPETA RAJAHMUNDRY,32993,32993,,,,533103,"Danavaipeta, Rajahmundry,533101","ALLEN SOLLY, 46-7-27, SS Towers, DANAVAI PETA, Opp. Green Park Family Restaurant, RAJAHMUNDRY - 533103",8832474567,9063397661.0,,https://imagescdn.allensolly.com/img/app/brand/production/2.2.jpg,Mens,0,0,0,1,2,10.950636804585775,0,,Andhra Pradesh,allensolly,
7349,17.0075,81.796097,Allen Solly J.N Road,39735,39735,,,,545769,,"Allen Solly Store, Door no:80-31-10 & 80-31-11, beside Guru Bakery, Jawaharlal Nehru Road, Rajahmundry -533103, East Godavari District-AP",9700262464,9700262464.0,,https://imagescdn.allensolly.com/img/app/brand/production/2.2.jpg,Mens,0,1,1,1,2,11.727631327422388,0,,Andhra Pradesh,allensolly,
5970,13.6227,79.413597,Allen Solly Air Byps Road,31269,31269,,,,517501,,"Allen Solly,New Balaji Colony, Opposite Honda Showroom, Air ByePass Road - 517501",9502956813,9985246080.0,,https://imagescdn.allensolly.com/img/app/brand/production/2.2.jpg,Mens,0,0,0,1,2,12.042193598912858,0,,Andhra Pradesh,allensolly,
8768,16.43395,80.996262,Gudiwada,19092,19092,,10:00am,9:00pm,521301,,"Novus Retail, #15/28, Ground Floor, Market Center, Gudiwada, Andhra Pradesh - 521301
",8978355221,8978355221,8978355221.0,https://imagescdn.louisphilippe.com/img/app/brand/production/1.jpg,,0,0,0,1,3,6.178355126803221,0,,Andhra Pradesh,louis-philippe,
218,17.716,83.297401,"LP Flagship Daba Gardens, Visakhapatnam",11064,11064,,,,530020,"Dhaba garden, Vizag,530020,530016,530002,530013,500073","Louis Philippe, Shop # 2, Ground Floor, Sai Surya Complex, Plot # 214, 215P, Block -41,Daba Gardens, Vizag -530020",0891 6642060,8936944555,,https://imagescdn.louisphilippe.com/img/app/brand/production/1.jpg,,0,1,1,1,3,7.564156070228466,0,,Andhra Pradesh,louis-philippe,
