car_name,car_link,brand_name,status,brand_link,tag_price,transaction_price,car_detail_name_name,oem_name_final
阿斯顿·马丁DBX,https://www.autohome.com.cn/3742/#pvareaid=6834145,阿斯顿·马丁(132),停售,https://car.autohome.com.cn/price/brand-35-0-3-1.html,196.80-328.80万元,196.80-328.80万,阿斯顿·马丁DBX,阿斯顿·马丁
V8 Vantage,https://www.autohome.com.cn/385/#pvareaid=6834145,阿斯顿·马丁(132),停售,https://car.autohome.com.cn/price/brand-35-0-3-1.html,223.80万元,223.80万起,V8 Vantage,阿斯顿·马丁
阿斯顿·马丁DB11,https://www.autohome.com.cn/3891/#pvareaid=6834145,阿斯顿·马丁(132),停售,https://car.autohome.com.cn/price/brand-35-0-3-1.html,235.80-245.80万元,235.80-245.80万,阿斯顿·马丁DB11,阿斯顿·马丁
阿斯顿·马丁DB12,https://www.autohome.com.cn/7293/#pvareaid=6834145,阿斯顿·马丁(132),在售,https://car.autohome.com.cn/price/brand-35.html,251.80-278.80万元,251.80-278.80万,阿斯顿·马丁DB12,阿斯顿·马丁
阿斯顿·马丁DBS,https://www.autohome.com.cn/582/#pvareaid=6834145,阿斯顿·马丁(132),停售,https://car.autohome.com.cn/price/brand-35-0-3-1.html,400.80-410.80万元,400.80-410.80万,阿斯顿·马丁DBS,阿斯顿·马丁
Valhalla,https://www.autohome.com.cn/5146/#pvareaid=6834145,阿斯顿·马丁(132),即将销售,https://car.autohome.com.cn/price/brand-35-0-2-1.html,暂无,N/A,Valhalla,阿斯顿·马丁
V12 Vantage,https://www.autohome.com.cn/822/#pvareaid=6834145,阿斯顿·马丁(132),停售,https://car.autohome.com.cn/price/brand-35-0-3-1.html,暂无,N/A,V12 Vantage,阿斯顿·马丁
N/A,https://www.autohome.com.cn/923/#pvareaid=6834145,阿斯顿·马丁(132),停售,https://car.autohome.com.cn/price/brand-35-0-3-1.html,N/A,N/A,,N/A
N/A,https://www.autohome.com.cn/884/#pvareaid=6834145,阿斯顿·马丁(132),停售,https://car.autohome.com.cn/price/brand-35-0-3-1.html,N/A,N/A,,N/A
N/A,https://www.autohome.com.cn/266/#pvareaid=6834145,阿斯顿·马丁(132),停售,https://car.autohome.com.cn/price/brand-35-0-3-1.html,N/A,N/A,,N/A
