Vehicle Class,Vehicle Category Group,Count,State,Vehicle Category
ADAPTED VEHICLE,2WIC,1,Andaman & Nicobar Island(8),TWO WHEELER
ADAPTED VEHICLE,2WN,0,Andaman & Nicobar Island(8),TWO WHEELER
ADAPTED VEHICLE,2WT,0,Andaman & Nicobar Island(8),TWO WHEELER
ADAPTED VEHICLE,TOTAL,1,Andaman & Nicobar Island(8),TWO WHEELER
M-CYCLE/SCOOTER,2WIC,0,Andaman & Nicobar Island(8),TWO WHEELER
M-CYCLE/SCOOTER,2WN,"2,735",Andaman & Nicobar Island(8),TWO WHEELER
M-CYCLE/SCOOTER,2WT,0,Andaman & Nicobar Island(8),TWO WHEELER
M-CYCLE/SCOOTER,TOTAL,"2,735",Andaman & Nicobar Island(8),TWO WHEELER
M-CYCLE/SCOOTER-WITH SIDE CAR,2WIC,0,Andaman & Nicobar Island(8),TWO WHEELER
M-CYCLE/SCOOTER-WITH SIDE CAR,TOTAL,1,Andaman & Nicobar Island(8),TWO WHEELER
M-CYCLE/SCOOTER-WITH SIDE CAR,2WN,1,Andaman & Nicobar Island(8),TWO WHEELER
M-CYCLE/SCOOTER-WITH SIDE CAR,2WT,0,Andaman & Nicobar Island(8),TWO WHEELER
MOPED,2WIC,0,Andaman & Nicobar Island(8),TWO WHEELER
MOPED,2WN,23,Andaman & Nicobar Island(8),TWO WHEELER
MOPED,TOTAL,23,Andaman & Nicobar Island(8),TWO WHEELER
MOPED,2WT,0,Andaman & Nicobar Island(8),TWO WHEELER
MOTOR CYCLE/SCOOTER-USED FOR HIRE,2WN,0,Andaman & Nicobar Island(8),TWO WHEELER
MOTOR CYCLE/SCOOTER-USED FOR HIRE,2WIC,0,Andaman & Nicobar Island(8),TWO WHEELER
MOTOR CYCLE/SCOOTER-USED FOR HIRE,2WT,69,Andaman & Nicobar Island(8),TWO WHEELER
MOTOR CYCLE/SCOOTER-USED FOR HIRE,TOTAL,69,Andaman & Nicobar Island(8),TWO WHEELER
THREE WHEELER (GOODS),3WN,0,Andaman & Nicobar Island(8),THREE WHEELER
THREE WHEELER (GOODS),3WT,10,Andaman & Nicobar Island(8),THREE WHEELER
THREE WHEELER (GOODS),TOTAL,10,Andaman & Nicobar Island(8),THREE WHEELER
THREE WHEELER (PASSENGER),3WN,0,Andaman & Nicobar Island(8),THREE WHEELER
THREE WHEELER (PASSENGER),3WT,82,Andaman & Nicobar Island(8),THREE WHEELER
THREE WHEELER (PASSENGER),TOTAL,82,Andaman & Nicobar Island(8),THREE WHEELER
MOTOR CAR,4WIC,0,Andaman & Nicobar Island(8),FOUR WHEELER
MOTOR CAR,LMV,820,Andaman & Nicobar Island(8),FOUR WHEELER
MOTOR CAR,MMV,0,Andaman & Nicobar Island(8),FOUR WHEELER
MOTOR CAR,HMV,0,Andaman & Nicobar Island(8),FOUR WHEELER
MOTOR CAR,TOTAL,820,Andaman & Nicobar Island(8),FOUR WHEELER
CONSTRUCTION EQUIPMENT VEHICLE,LMV,1,Andaman & Nicobar Island(8),CONSTRUCTION EQUIPMENT VEHICLE
CONSTRUCTION EQUIPMENT VEHICLE,MMV,1,Andaman & Nicobar Island(8),CONSTRUCTION EQUIPMENT VEHICLE
CONSTRUCTION EQUIPMENT VEHICLE,HMV,0,Andaman & Nicobar Island(8),CONSTRUCTION EQUIPMENT VEHICLE
CONSTRUCTION EQUIPMENT VEHICLE,LGV,0,Andaman & Nicobar Island(8),CONSTRUCTION EQUIPMENT VEHICLE
CONSTRUCTION EQUIPMENT VEHICLE,MGV,0,Andaman & Nicobar Island(8),CONSTRUCTION EQUIPMENT VEHICLE
CONSTRUCTION EQUIPMENT VEHICLE,HGV,0,Andaman & Nicobar Island(8),CONSTRUCTION EQUIPMENT VEHICLE
CONSTRUCTION EQUIPMENT VEHICLE,OTH,1,Andaman & Nicobar Island(8),CONSTRUCTION EQUIPMENT VEHICLE
CONSTRUCTION EQUIPMENT VEHICLE,TOTAL,3,Andaman & Nicobar Island(8),CONSTRUCTION EQUIPMENT VEHICLE
GOODS CARRIER,LGV,102,Andaman & Nicobar Island(8),GOODS VEHICLES
GOODS CARRIER,MGV,2,Andaman & Nicobar Island(8),GOODS VEHICLES
GOODS CARRIER,HGV,54,Andaman & Nicobar Island(8),GOODS VEHICLES
GOODS CARRIER,TOTAL,158,Andaman & Nicobar Island(8),GOODS VEHICLES
BUS,LPV,0,Andaman & Nicobar Island(8),PUBLIC SERVICE VEHICLE
BUS,MPV,2,Andaman & Nicobar Island(8),PUBLIC SERVICE VEHICLE
BUS,HPV,25,Andaman & Nicobar Island(8),PUBLIC SERVICE VEHICLE
BUS,TOTAL,27,Andaman & Nicobar Island(8),PUBLIC SERVICE VEHICLE
OMNI BUS,LPV,3,Andaman & Nicobar Island(8),PUBLIC SERVICE VEHICLE
OMNI BUS,MPV,0,Andaman & Nicobar Island(8),PUBLIC SERVICE VEHICLE
OMNI BUS,HPV,0,Andaman & Nicobar Island(8),PUBLIC SERVICE VEHICLE
