id,store_name,address,lat,lang,created_at,updated_at,deleted_at,slug,status,city_id,store_id,city,state
4,Piccadilly - KFC,"KFC Piccadilly Cinema, Ground Floor, Sector 34, Pin 160034",30.7235135,76.7676531,2019-10-11 07:17:00,2020-07-14 12:24:41,,kfc,1,59,4,Chandigarh,Chandigarh
5,Chandigarh 8C - KFC,"KFC Sco - 1- 2- 3, Sector 8C, Madhya Marg, Pin 160018",30.7402428,76.792532,2019-10-11 07:17:00,2020-07-11 18:59:18,,kfc,1,59,5,Chandigarh,Chandigarh
6,Chandigarh Sec 35 - KFC ,"KFC Sco - 425-426, Sector 35C, Pin 160036",30.7224937,76.7614538,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,59,6,Chandigarh,Chandigarh
7,Elante Mall - KFC  ,"KFC Elante Mall, Unit No. 303, L&T Realty, 178-178A, Industrial & Business Park, Ph-1, Pin 160002",30.7055854,76.8011265,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,59,7,Chandigarh,Chandigarh
8,Ambience Mall - KFC  ,"KFC Shop No R2, 3Rd Floor, Nelson Mandela Marg, Ambience Mall, Pin 110070",28.541245,77.154935,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,9,8,Delhi,Delhi
9,Connaught Place 1 - KFC   ,"KFC A-12 Inner Circle, Connaught Place, Pin 110001",28.633164,77.217971,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,9,9,Delhi,Delhi
10,Connaught Place 2 - KFC   ,"KFC Shop No-6&7, KFC Restaurant, Scindia House, Outer Circle, Connaught Place Pin 110001",28.6298,77.2204,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,9,10,Delhi,Delhi
11,Dwarka Sector 12 - KFC  ,"KFC Plot No. 230, Sector 9, Dwarka Pin 110077",28.5923791,77.0416679,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,9,11,Delhi,Delhi
12,Dwarka Sector 12 - KFC  ,"KFC Plot No. 230, Sector 9, Dwarka Pin 110077",28.5923791,77.0416679,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,9,12,Delhi,Delhi
13,Janakpuri 1 - KFC   ,"KFC Shop No 8 To 11, Inside Satyam District Center Janakpuri Pin 110058",28.6295538,77.0801899,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,9,13,Delhi,Delhi
14,Janakpuri 2 - KFC   ,"KFC Shop No 8-11, Satyam Complex, Janakpuri District Center, Pin 110058",28.6296451,77.0813776,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,9,14,Delhi,Delhi
15,"Unity One Mall, Janakpuri - KFC  ","KFC G01, Ground Floor And 101 First Floor, Unity One Mall, Janak Puri, Pin 110058",28.6286625,77.0764709,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,9,15,Delhi,Delhi
16,Kalkaji - KFC  ,"KFC F-4, Kalkaji Main Road, Kalkaji, New Delhi, Pin 110019",28.5374198,77.2597274,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,9,16,Delhi,Delhi
17,Kamla Nagar - KFC ,"KFC Plot No - 38 UA, Bunglow Road, Kamla Nagar, Pin 110007",28.6804794,77.2081838,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,9,17,Delhi,Delhi
18,Kirti Nagar - KFC ,"KFC Shop No-12, 13, Plot No-67, 2Nd Floor, Food Court, Patel Road, Pin 110015",28.6570135,77.1467284,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,9,18,Delhi,Delhi
19,Lajpat Nagar - KFC ,"KFC J 23 A, Central Market, Lajpat Nagar II, Pin 110024",28.569229,77.2417726,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,9,19,Delhi,Delhi
20,M2K Rohini - KFC ,"KFC 16 Mangalam Place District Centre, Sector-3, Rohini, Pin 110085",28.7016014,77.1168011,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,9,20,Delhi,Delhi
21,"TDI Mall, Nehru Place - KFC ","KFC Food Court, Lower Ground Floor, TDI Mall, Nehru Place, Near Nehru Place Metro Station, Pin 110015",28.551441,77.251741,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,9,21,Delhi,Delhi
22,Patel Nagar - KFC ,"KFC Plot No. 2/14, Ground Floor, West Patel Nagar, Pin 110008",28.645157,77.16933,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,9,22,Delhi,Delhi
23,Preet Vihar - KFC ,"KFC F-25, Ground Floor, Vikas Marg, Near Preet Vihar Metro Station, Preet Vihar, Pin 110092",28.6415889,77.2953466,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,9,23,Delhi,Delhi
24,"Unity One, Rohini - KFC ","KFC Unity No 17 On Ground Floor, Unity One Rohini At Rohini (West), Metro Station Complex, Pin 110085",28.7148646,77.1160921,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,9,24,Delhi,Delhi
25,"Community Center, Saket - KFC  ","KFC Community Center, Ashok Vihar, Saket, Pin 110017",28.523142,77.207832,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,9,25,Delhi,Delhi
26,"Pacific Mall Food Court, Subhash Nagar - KFC","KFC Shop No - L7, 2nd Floor, Pacific Mall, Tagore Garden, Pin 110015",28.6427067,77.1064,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,9,26,Delhi,Delhi
27,"Pacific Mall , Subhash Nagar - KFC","KFC Shop # 01- 03, Lower Ground Floor, Pacific Mall, Pin 110027",28.6424,77.1064,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,9,27,Delhi,Delhi
