id,store_name,address,lat,lang,created_at,updated_at,deleted_at,slug,status,city_id,store_id,city,state
167,Inorbit Cyberabad - PH,"Pizza Hut, Unit No F&B 14A, 2Nd Floor, Inorbit Mall, Hyberabad, Pin 500081",17.4600662,78.3600928,2019-10-11 07:17:00,2020-07-11 15:29:13,,pizza-hut,1,11,167,Hyderabad,Andhra Pradesh
168,Madhapur-PH,"Pizza Hut, D.No. 1-98 /6 /51, Shristi Towers, Arunodaya Colony, Opposite Family Mart, Madhapur, Pin 560070",17.4341242,78.4050494,2019-10-11 07:17:00,2020-07-11 15:30:16,,pizza-hut,1,11,168,Hyderabad,Andhra Pradesh
169,Rajbhavan - PH,"Pizza Hut, Eureka Estate, Somajiguda, Raj Bhavan Road, Pin 500004",17.4289119,78.4479753,2019-10-11 07:17:00,2020-07-11 15:30:28,,pizza-hut,1,11,169,Hyderabad,Andhra Pradesh
170,Viceroy Exp - PH,"Pizza Hut Shop No.3, Viceroy Food Court, Eat Steet, Necklace Road, Pin 500082",17.436047,78.477976,2019-10-11 07:17:00,2020-07-11 15:30:00,,pizza-hut,0,11,170,Hyderabad,Andhra Pradesh
172,Banjara Hills - PH,"Pizza Hut D.No. 8-2-699/2, Road No.12, Banjara Hil Opp: Dadu'S Sweet House, Amudi Nagar, Pin 500082",10.5503849,76.1811835,2019-10-11 07:17:00,2019-10-11 07:17:00,,pizza-hut,1,11,172,Hyderabad,Andhra Pradesh
271,L&T Hyderabad - PH ,"Pizza Hut Shop No. L5-11, Pizza Hut Hyderabad Next Galleria@ Panjagutta, Pin 500034",17.4109252,78.4246544,2019-10-11 07:17:00,2019-10-11 07:17:00,,pizza-hut,1,11,271,Hyderabad,Andhra Pradesh
272,Komapally - PH,"Pizza Hut Survey No. 95/1, Ground Floor, NCL Habitats, Komaplly, Pin 500056",17.4405111,78.4012861,2019-10-11 07:17:00,2020-07-11 15:29:31,,pizza-hut,1,11,272,Hyderabad,Andhra Pradesh
274,Lingampally - PH,"Pizza Hut Ground Floor, Plot No. 22, Beside CCD, Nallagandla Road, Serilingampally, Pin 500056",17.5154342,78.4808321,2019-10-11 07:17:00,2020-07-11 15:28:45,,pizza-hut,1,11,274,Hyderabad,Andhra Pradesh
275,Nacharam - PH,"Pizza Hut Shop No.6, First And Second Floor, Paradise Mall, Nacharam, Pin 500056",17.4247573,78.4532959,2019-10-11 07:17:00,2020-07-11 15:32:00,,pizza-hut,1,11,275,Hyderabad,Andhra Pradesh
292,GVK One - PH,"Pizza Hut 3rd Floor, Hyderabad, Pin 500056",17.419857,78.448632,2019-10-11 07:17:00,2020-07-11 15:32:29,,pizza-hut,1,11,292,Hyderabad,Andhra Pradesh
293,Capital Mall - PH ,"Pizza Hut Whitefields, Kondapur, Hyderabad-500084",9.9943835,76.2438346,2019-10-11 07:17:00,2019-10-11 07:17:00,,pizza-hut,1,11,293,Hyderabad,Andhra Pradesh
294,SR Nagar - PH,Pizza Hut Pin 500038,17.4798978,78.3165436,2019-10-11 07:17:00,2020-07-11 15:29:00,,pizza-hut,1,11,294,Hyderabad,Andhra Pradesh
308,GSM Mega - PH,"Pizza Hut Madinaguda(Miyapur) Hyderabad, Pin 500049",17.4405111,78.4012861,2019-10-11 07:17:00,2020-07-11 15:29:47,,pizza-hut,1,11,308,Hyderabad,Andhra Pradesh
312,LB Nagar - PH ,"Pizza Hut Lb Nagar, Saroornagar, India-500074 Pin 500074",17.3446089,78.5543746,2019-10-11 07:17:00,2019-10-11 07:17:00,,pizza-hut,1,11,312,Hyderabad,Andhra Pradesh
315,Sarath City - PH ,"Pizza Hut Kondapur, Hyderabad, Telangana, Pin 500084",9.9943835,76.2438346,2019-10-11 07:17:00,2019-10-11 07:17:00,,pizza-hut,1,11,315,Hyderabad,Andhra Pradesh
351,Manikonda - PH,"Pizza Hut, Lanco Hills, Plot No 35 & 36, Ground, beside Harivillu Apartments, Manikonda, Telangana - 500089",17.4341242,78.4050494,2020-07-02 12:57:00,2020-07-02 12:57:00,,pizza-hut,1,11,351,Hyderabad,Andhra Pradesh
164,PVP Square Mall - PH,"Pizza Hut 39 & 1, Sn 3F & 1 & 3, PVP Square Mall, Level 3, Mg Rd, Labbipet, Krishna, Pin 520010",17.7266171,83.3028893,2019-10-11 07:17:00,2019-10-11 07:17:00,,pizza-hut,1,53,164,Vijayawada,Andhra Pradesh
165,CMR Mall - PH,"Pizza Hut 52-1-35, 36 & 38, CMR Mall, New Resapuvanipalem, Maddilapalem, Visakhapatnam Pin 520013",17.7148001,83.3013783,2019-10-11 07:17:00,2020-07-11 15:28:22,,pizza-hut,1,53,165,Vijayawada,Andhra Pradesh
166,Dwarka Nagar - PH ,"Pizza Hut, Lane # 2, Isnar Khazana Towers, Dwarakanagar, Pin 530003",16.5025642,80.6404227,2019-10-11 07:17:00,2019-10-11 07:17:00,,pizza-hut,1,80,166,Visakhapatnam,Andhra Pradesh
235,Calangute - PH   ,"Pizza Hut Amara Building, Nr.St.Anthony Chaple, Naika Waddo, Calangute Main Road, Calangute, Bardz, Pin 403516",15.5363365,73.7623053,2019-10-11 07:17:00,2019-10-11 07:17:00,,pizza-hut,1,61,235,Goa,Goa
236,Margao - PH   ,"Pizza Hut Ground Floor, E Wing, Osia, Commercial Arcade, S.G.P.D.A. Market Complex. Pin 403601",15.2851299,73.955108,2019-10-11 07:17:00,2019-10-11 07:17:00,,pizza-hut,1,61,236,Goa,Goa
278,Porvorim - PH  ,"Pizza Hut House No.250 B, Opp. Ocoquerio Alto Porvorim, Bardez Goa, Pin 403601",15.525381,73.837971,2019-10-11 07:17:00,2019-10-11 07:17:00,,pizza-hut,1,61,278,Goa,Goa
306,Baga  - PH,"Pizza Hut Bardez Goa, Pin 403516",15.5489942,73.7623673,2019-10-11 07:17:00,2020-07-14 08:40:56,,pizza-hut,1,61,306,Goa,Goa
289,Aluva - PH   ,"Pizza Hut Unit No1, Ground Floor, Radhani Developers Akkat, Asarikadan Road, Pulinchode, Aluva, Pin 683101",10.5503849,76.1811835,2019-10-11 07:17:00,2019-10-11 07:17:00,,pizza-hut,1,12,289,Cochin,Kerala
356,Kochi Fort - PH,"Pizza Hut, Unit No 1, Survey No 18, Ground Floor, Kochi Fort, Ernakulam, Kerala - 682001",22.7446716,75.8918414,2020-07-02 13:05:00,2020-07-02 13:05:00,,pizza-hut,1,12,356,Cochin,Kerala
