"id","title","description","street","city","state","postal_code","country","lat","lng","phone","fax","email","website","logo_id","path","marker_id","description_2","open_hours","ordr","slug","brand","special","categories","days_str"
"508","Axis Mall","","Major Arterial Road(South-East), CF Block(Newtown), Action Area 1C, Newtown, New Town-700156","KOLKATA","WEST BENGAL","700156","India","22.5990219","88.4714193","","","","https://stylebaazar.in","0","null","1","","{""mon"":[""10:00 AM - 10:00 PM""],""tue"":[""10:00 AM - 10:00 PM""],""wed"":[""10:00 AM - 10:00 PM""],""thu"":[""10:00 AM - 10:00 PM""],""fri"":[""10:00 AM - 10:00 PM""],""sat"":[""10:00 AM - 10:00 PM""],""sun"":[""10:00 AM - 10:00 PM""]}","0","axis-mall-kolkata","","","null","Mon, Tues, Wed, Thur, Fri, Sat, Sun"
"507","CUTTACK(02)","","G T Road , Opposite Govindpur Thana , Govindpur - 828109","CUTTACK(02)","ODISHA","828109","India","20.462521","85.8829895","9147415490","","","https://stylebaazar.in","0","null","1","","{""mon"":[""10:00 AM - 10:00 PM""],""tue"":[""10:00 AM - 10:00 PM""],""wed"":[""10:00 AM - 10:00 PM""],""thu"":[""10:00 AM - 10:00 PM""],""fri"":[""10:00 AM - 10:00 PM""],""sat"":[""10:00 AM - 10:00 PM""],""sun"":[""10:00 AM - 10:00 PM""]}","0","cuttack-02-cuttack","","","null","Mon, Tues, Wed, Thur, Fri, Sat, Sun"
"520","EB – ARAMBAGH","","Arambagh Link Road, Near Axis Bank, Arambagh, West Bengal 712601","HOOGLY","WEST BENGAL","712601","India","22.8765026","87.7909507","7044080372","","","https://stylebaazar.in","0","null","1","","{""mon"":[""10:00 AM - 10:00 PM""],""tue"":[""10:00 AM - 10:00 PM""],""wed"":[""10:00 AM - 10:00 PM""],""thu"":[""10:00 AM - 10:00 PM""],""fri"":[""10:00 AM - 10:00 PM""],""sat"":[""10:00 AM - 10:00 PM""],""sun"":[""10:00 AM - 10:00 PM""]}","0","eb-arambagh-hooghly","","","null","Mon, Tues, Wed, Thur, Fri, Sat, Sun"
"510","EB-BERHAMPORE","","34, N.H. Road,Mohana Bus Stand,742101","BERHAMPORE(EB)","WEST BENGAL","742101","India","24.0980834","88.25751550000001","7044055690","","","https://stylebaazar.in","0","null","1","","{""mon"":[""10:00 AM - 10:00 PM""],""tue"":[""10:00 AM - 10:00 PM""],""wed"":[""10:00 AM - 10:00 PM""],""thu"":[""10:00 AM - 10:00 PM""],""fri"":[""10:00 AM - 10:00 PM""],""sat"":[""10:00 AM - 10:00 PM""],""sun"":[""10:00 AM - 10:00 PM""]}","0","eb-berhampore-berhampore-eb","null","null","11","Mon, Tues, Wed, Thur, Fri, Sat, Sun"
"401","KEONJHAR","","Barbil Road,Near Union Bank, Magurgadia Keonjhar, Odisha","KEONJHAR","ODISHA","758001","India","0","0","6292244966","","","","0","null","1","","{""mon"":[""10:00 AM - 10:00 PM""],""tue"":[""10:00 AM - 10:00 PM""],""wed"":[""10:00 AM - 10:00 PM""],""thu"":[""10:00 AM - 10:00 PM""],""fri"":[""10:00 AM - 10:00 PM""],""sat"":[""10:00 AM - 10:00 PM""],""sun"":[""10:00 AM - 10:00 PM""]}","0","keonjhar-keonjhar","","","null","Mon, Tues, Wed, Thur, Fri, Sat, Sun"
"513","SB – ALAMNAGAR","","Alamnagar , Azad chowk, Near khagaria bus stand , Madhepura - 852210","MADHEPURA","BIHAR","852210","India","25.9225567","86.798525","9147372796","","","https://stylebaazar.in","0","null","1","","{""mon"":[""10:00 AM - 10:00 PM""],""tue"":[""10:00 AM - 10:00 PM""],""wed"":[""10:00 AM - 10:00 PM""],""thu"":[""10:00 AM - 10:00 PM""],""fri"":[""10:00 AM - 10:00 PM""],""sat"":[""10:00 AM - 10:00 PM""],""sun"":[""10:00 AM - 10:00 PM""]}","0","sb-alamnagar-madhepura","null","null","11","Mon, Tues, Wed, Thur, Fri, Sat, Sun"
"533","SB – AYODHYA","","I.P. TOWER, Rampath Niyawan Road, Opposite ICICI Bank, Ayodhya - 224001","AYODHYA","UTTAR PRADESH","224001","India","26.7820975","82.17770589999999","9147416438","","","https://stylebaazar.in","0","null","1","","{""mon"":[""10:00 AM - 10:00 PM""],""tue"":[""10:00 AM - 10:00 PM""],""wed"":[""10:00 AM - 10:00 PM""],""thu"":[""10:00 AM - 10:00 PM""],""fri"":[""10:00 AM - 10:00 PM""],""sat"":[""10:00 AM - 10:00 PM""],""sun"":[""10:00 AM - 10:00 PM""]}","0","sb-ayodhya-ayodhya","null","null","null","Mon, Tues, Wed, Thur, Fri, Sat, Sun"
"515","SB – BADARPUR","","S.T Road, Badarpur, Near N.C College, Karimganj, Assam","BADARPUR","ASSAM","","India","24.8701428","92.55964709999999","9147415492","","","https://stylebaazar.in","0","null","1","","{""mon"":[""10:00 AM - 10:00 PM""],""tue"":[""10:00 AM - 10:00 PM""],""wed"":[""10:00 AM - 10:00 PM""],""thu"":[""10:00 AM - 10:00 PM""],""fri"":[""10:00 AM - 10:00 PM""],""sat"":[""10:00 AM - 10:00 PM""],""sun"":[""10:00 AM - 10:00 PM""]}","0","sb-badarpur-badarpur","","","null","Mon, Tues, Wed, Thur, Fri, Sat, Sun"
"529","SB – BHIKHANA PAHARI","","Bhikhina Pahari More, opp. Police chowki, Patna - 800004","BHIKHINA PAHARI","BIHAR","800004","India","25.6150204","85.1657369","9147415700","","","https://stylebaazar.in","0","null","1","","{""mon"":[""10:00 AM - 10:00 PM""],""tue"":[""10:00 AM - 10:00 PM""],""wed"":[""10:00 AM - 10:00 PM""],""thu"":[""10:00 AM - 10:00 PM""],""fri"":[""10:00 AM - 10:00 PM""],""sat"":[""10:00 AM - 10:00 PM""],""sun"":[""10:00 AM - 10:00 PM""]}","0","sb-bhikhana-pahari-bhikhina-pahari","null","null","null","Mon, Tues, Wed, Thur, Fri, Sat, Sun"
"538","SB – CHAKRADHARPUR","","BATA ROAD, OPPOSITE ICICI BANK, CHAKRADHARPUR, JHARKHAND PIN -833102","CHAKRADHARPUR","JHARKHAND","833102","India","22.67354","85.62254","03361256125","","","https://stylebaazar.in","0","null","1","","{""mon"":[""10:00 AM - 10:00 PM""],""tue"":[""10:00 AM - 10:00 PM""],""wed"":[""10:00 AM - 10:00 PM""],""thu"":[""10:00 AM - 10:00 PM""],""fri"":[""10:00 AM - 10:00 PM""],""sat"":[""10:00 AM - 10:00 PM""],""sun"":[""10:00 AM - 10:00 PM""]}","0","sb-chakradharpur-chakradharpur","","","null","Mon, Tues, Wed, Thur, Fri, Sat, Sun"
