"id","title","description","street","city","state","postal_code","country","lat","lng","phone","fax","email","website","logo_id","path","marker_id","description_2","open_hours","ordr","slug","brand","special","categories","days_str"
"126","V2 Retail Ltd. (HA10)","HA10","Aab Arcade, &#039;0 &#039;(Zero) Point, Tinali","Itanagar","Arunachal Pradesh","791111","India","27.1017374","93.6296897","6002809663 / 8759521202","","itanagar@v2kart.com","https://v2retail.com","2","v2-LOGO-5.png","1","","{""mon"":""0"",""tue"":""0"",""wed"":""0"",""thu"":""0"",""fri"":""0"",""sat"":""0"",""sun"":""0""}","0","v2-retail-ltd-ha10-itanagar","","","null",""
"69","V2 Retail Ltd. (HB05)","HB05","Maharaja Kameshwar Complex, Frazer Road","Patna","Bihar","800001","India","25.60654196","85.13754175","9155010280 / 8083858655","","patna@v2kart.com","https://v2retail.com","2","v2-LOGO-5.png","1","","{""mon"":""0"",""tue"":""0"",""wed"":""0"",""thu"":""0"",""fri"":""0"",""sat"":""0"",""sun"":""0""}","0","v2-retail-ltd-hb05-patna","","","null",""
"63","V2 Retail Ltd. (HB06)","HB06","New Krishna Road, Opposite Civil Line P.S., Town Gaya","Gaya","Bihar","823001","India","24.7924443","85.0024026","7277262754 / 9939129292","","gaya@v2kart.com","https://v2retail.com","2","v2-LOGO-5.png","1","","{""mon"":""0"",""tue"":""0"",""wed"":""0"",""thu"":""0"",""fri"":""0"",""sat"":""0"",""sun"":""0""}","0","v2-retail-ltd-hb06-gaya","","","null",""
"108","V2 Retail Ltd. (HB07)","HB07","RBSS Sahay Road, Kachahri Chowk","Bhagalpur","Bihar","812001","India","25.2497385","86.9892144","8539921879 / 8582011671","","bhagalpur@v2kart.com","https://v2retail.com","2","v2-LOGO-5.png","1","","{""mon"":""0"",""tue"":""0"",""wed"":""0"",""thu"":""0"",""fri"":""0"",""sat"":""0"",""sun"":""0""}","0","v2-retail-ltd-hb07-bhagalpur","","","null",""
"87","V2 Retail Ltd. (HB08)","HB08","Mirzapur Chowk, Station Road","Darbhanga","Bihar","846004","India","26.1524178","85.8989204","9835756431 / 8340200166","","darbhanga@v2kart.com","https://v2retail.com","2","v2-LOGO-5.png","1","","{""mon"":""0"",""tue"":""0"",""wed"":""0"",""thu"":""0"",""fri"":""0"",""sat"":""0"",""sun"":""0""}","0","v2-retail-ltd-hb08-darbhanga","","","null",""
"57","V2 Retail Ltd. (HB09)","HB09","Supriya Cinema Road, Betia (West)","Betia","Bihar","845438","India","26.8054241","84.511511","8789492347 / 8709667563","","bettiah@v2kart.com","https://v2retail.com","2","v2-LOGO-5.png","1","","{""mon"":""0"",""tue"":""0"",""wed"":""0"",""thu"":""0"",""fri"":""0"",""sat"":""0"",""sun"":""0""}","0","v2-retail-ltd-hb09-betia","","","null",""
"143","V2 Retail Ltd. (HB10)","HB10","Khesra Kasba, Jail Road, Arrah","Ara","Bihar","802301","India","25.469","84.5437","8521179642 / 9973626131","","arrah@v2kart.com","https://v2retail.com","2","v2-LOGO-5.png","1","","{""mon"":""0"",""tue"":""0"",""wed"":""0"",""thu"":""0"",""fri"":""0"",""sat"":""0"",""sun"":""0""}","0","v2-retail-ltd-hb10-ara","","","null",""
"111","V2 Retail Ltd. (HB11)","HB11","Subhash Nagar, Polytechnic Chowk","Purnia","Bihar","854301","India","25.7619053","87.4688928","8210522356 / 7766878418","","purnia@v2kart.com","https://v2retail.com","2","v2-LOGO-5.png","1","","{""mon"":""0"",""tue"":""0"",""wed"":""0"",""thu"":""0"",""fri"":""0"",""sat"":""0"",""sun"":""0""}","0","v2-retail-ltd-hb11-purnia","","","null",""
"142","V2 Retail Ltd. (HB13)","HB13","Gousala Road, Pakri More","Siwan","Bihar","841227","India","26.2008","84.4418","7903957119 / 7367813149","","siwan@v2kart.com","https://v2retail.com","2","v2-LOGO-5.png","1","","{""mon"":""0"",""tue"":""0"",""wed"":""0"",""thu"":""0"",""fri"":""0"",""sat"":""0"",""sun"":""0""}","0","v2-retail-ltd-hb13-siwan","","","null",""
"145","V2 Retail Ltd. (HB15)","HB15","Mohalla Bhainsasoor (Nala Road)","Bihar Sharif","Bihar","803101","India","25.1991186","85.5160441","9852314191 / 8540944625","","biharsharif@v2kart.com","https://v2retail.com","2","v2-LOGO-5.png","1","","{""mon"":""0"",""tue"":""0"",""wed"":""0"",""thu"":""0"",""fri"":""0"",""sat"":""0"",""sun"":""0""}","0","v2-retail-ltd-hb15-bihar-sharif","","","null",""
