store_name,store_linnk,store_locality,store_phone_numbers,store_address,store_landmark
V-Mart - Lajpat Nagar,https://stores.vmartretail.com/v-mart-lajpat-nagar-lajpat-nagar-south-east-delhi-30965/home,"Lajpat Nagar, South East Delhi",+918448982285,"No D 3, Block 1, Central Market 2, Near Dolma Aunty Momo's., Lajpat Nagar, South East Delhi, Delhi, 110024",Near Dolma Aunty Momo's.
V-Mart - Laxmi Nagar,https://stores.vmartretail.com/v-mart-laxmi-nagar-laxmi-nagar-new-delhi-30796/home,"Laxmi Nagar, New Delhi",+919313699995,"Shop No 610 And 611, Ravi Das Marg, Main Bazar Road, Guru Ram Das Nagar, Near Mangal Bazar Road, Laxmi Nagar, New Delhi, Delhi, 110092",Near Mangal Bazar Road
V-Mart - Mahipalpur,https://stores.vmartretail.com/v-mart-mahipalpur-mahipalpur-new-delhi-41806/home,"Mahipalpur, New Delhi",+919773926473,"Pillar Number RP14M, Delhi - Gurugram Expressway, Near Radisson Blu Plaza Hotel, Delhi Airport, Mahipalpur, New Delhi, Delhi, 110037","Near Radisson Blu Plaza Hotel, Delhi Airport"
V-Mart - Mahavir Enclave,https://stores.vmartretail.com/v-mart-mahavir-enclave-mahavir-enclave-new-delhi-39070/home,"Mahavir Enclave, New Delhi",+919650220114,"Rzg-2, Palam Dabri Road, Near Dashrathpuri Metro Station, New Delhi, Mahavir Enclave, New Delhi, Delhi, 110045","Near Dashrathpuri Metro Station, New Delhi"
V-Mart - Delhi-Dwarka,https://stores.vmartretail.com/v-mart-delhi-dwarka-dwarka-new-delhi-31000/home,"Dwarka, New Delhi",+917042989955,"No E/561/A & E/561B, Palam Extension, Palam Extension, Near Ramphal Chowk Rd, Dwarka, New Delhi, Delhi, 110075",Near Ramphal Chowk Rd
V-Mart - Delhi-Burari,https://stores.vmartretail.com/v-mart-delhi-burari-burari-north-delhi-32949/home,"Burari, North Delhi",+919289551045,"Virendar Nagar, Block B, Sant Nagar, 100 feet Road, Near Labour Chowk Sant Nagar, Burari, North Delhi, Delhi, 110084",Near Labour Chowk Sant Nagar
V-Mart - Bhangel,https://stores.vmartretail.com/v-mart-bhangel-noida-gautam-buddha-nagar-30760/home,"Noida, Gautam Buddha Nagar",+918467922637,"Raghuveer Complex, Main Dadri Road, Bhangel, Main Dadri Road, Near Kanya Inter College, Noida, Gautam Buddha Nagar, Uttar Pradesh, 201304",Near Kanya Inter College
V-Mart - Ghaziabad-Gandhi Nagar,https://stores.vmartretail.com/v-mart-ghaziabad-gandhi-nagar-nehru-nagar-ghaziabad-30966/home,"Nehru Nagar, Ghaziabad",+919289792511,"Main Road, Gandhi Nagar, Near Hari Mandir, Nehru Nagar, Ghaziabad, Uttar Pradesh, 201001",Near Hari Mandir
V-Mart - Faridabad-Nit,https://stores.vmartretail.com/v-mart-faridabad-nit-new-industrial-town-faridabad-30993/home,"New Industrial Town, Faridabad",+919289447776,"Ground Floor, Kali Mandir, Near Kali Mata mandir,N.I.T Bus Stand, New Industrial Town, Faridabad, Haryana, 121001","Near Kali Mata mandir,N.I.T Bus Stand"
V-Mart - Delhi-Narela,https://stores.vmartretail.com/v-mart-delhi-narela-narela-north-west-delhi-30826/home,"Narela, North West Delhi",+917428495287,"Plot No 63, Block A, Pana Udyan, Pana Udyan, Near Jhanda Chowk Rd, Narela, North West Delhi, Delhi, 110040",Near Jhanda Chowk Rd
