store_name,address,phone_no,store_link
"Adyar, Chennai","Westside - A Unit Of Trent Limited - No.39/19,Gandhi Nagar First Main Road, Near Spencer Super Market, Adyar, Chennai - 600020, Tamil Nadu",7824819949,https://www.westside.com/apps/s/storelocator/tamilnadu/chennai/adyar-w099?type=westside
"Sector 29, Gurgaon","Westside, Trent Ltd, Trillium Avenue - Trillium, Sector 29, Gurugram - 122009, Haryana",0124-2806942-43,https://www.westside.com/apps/s/storelocator/haryana/gurgaon/sector-29-w173?type=westside
"FC Road, Deccan Gymkhana, Pune","Amar Business Bay, 893/2 Bhamburda - Fergusson College Road, Deccan Gymkhana, Pune - 411004, Maharashtra",7045747165,https://www.westside.com/apps/s/storelocator/maharashtra/pune/fc-road-deccan-gymkhana-w134?type=westside
"Cosmos Plaza, Andheri West, D N Nagar, Mumbai","102 - Cosmos Plaza, Jp Road, D.N.Nagar, Andheri West, Mumbai - 400053, Maharashtra",7045371725,https://www.westside.com/apps/s/storelocator/maharashtra/mumbai/cosmos-plaza-andheri-west-d-n-nagar-w111?type=westside
"Kala Ghoda, Fort, Mumbai","Westside - A Unit Of Trent Limited - Army Navy Building, Kala Ghoda, 148, Mahatma Gandhi Marg, Fort, Mumbai - 400001, Maharashtra", 02266360495/498/499/500,https://www.westside.com/apps/s/storelocator/maharashtra/mumbai/kala-ghoda-fort-w011?type=westside
"Pataka House, Taltala, Kolkata","Pataka House - 57B, Mirza Ghalib Street, New Market Area, Dharmatala, Taltala, Kolkata - 700016, West Bengal",8291297476,https://www.westside.com/apps/s/storelocator/westbengal/kolkata/pataka-house-taltala-w125?type=westside
"Camac Steet, Kolkata","Westside - A Unit Of Trent Limited - 22, Camac Street, Block D, Kolkata - 700017, West Bengal",9038024063,https://www.westside.com/apps/s/storelocator/westbengal/kolkata/camac-steet-w007?type=westside
"Himayat Nagar, Hyderabad","Dr .K. Samantha Reddy Estate - H.No. 3-6-199,A,A/1, Beside Minerva Coffee Shop, Himayath Nager, Hyderabad, Telangana - 500029",9160102226,https://www.westside.com/apps/s/storelocator/telangana/hyderabad/himayat-nagar-w116?type=westside
"Forum Sujana Mall Kukatpally, Hyderabad","35/35A & 130/130A 1St Flr Forum Sujana Mall, Plot No.S-16 - Opp. Malaysian Township, Kukatpally, Hyderabad, Telangana - 500072",8885001320,https://www.westside.com/apps/s/storelocator/telangana/hyderabad/forum-sujana-mall-kukatpally-w094?type=westside
"Vijaya Forum Mall, Vadapalani, Chennai","Westside - A Unit Of Trent Limited - No.182, Nsk Salai, Vijaya Forum Mall, Vadapalani, Chennai - 600026, Tamil Nadu",8015070081,https://www.westside.com/apps/s/storelocator/tamilnadu/chennai/vijaya-forum-mall-vadapalani-w083?type=westside
"Mayfair, T Nagar, Chennai","Westside - A Unit Of Trent Limited - Mayfair Exports, 84 G.N. Chetty Road, T Nagar, Chennai - 600017, Tamil Nadu",8976820935,https://www.westside.com/apps/s/storelocator/tamilnadu/chennai/mayfair-t-nagar-w091?type=westside
"Express Avenue, Royapettah, Chennai","Westside - A Unit Of Trent Limited - S-064,Ground Floor, Express Avenue, 49/50L,Whites Road, Royapettah, Chennai - 600014, Tamil Nadu",7823944212,https://www.westside.com/apps/s/storelocator/tamilnadu/chennai/express-avenue-royapettah-w051?type=westside
"Westside Lulu Mall, Kochi","Nethaji Nagar, Edappally, Kochi - 682024, Kerala",6238743057,https://www.westside.com/apps/s/storelocator/kerala/kochi/edappally-w079?type=westside
"Westside - Hiranandani Estate, Thane","The Walk - Ghodbunder Road, Hiranandani Estate, Thane - 400607, Maharashtra",7045407674,https://www.westside.com/apps/s/storelocator/maharashtra/thane/westside-hiranandani-estate-w149?type=westside
