store_name,address,store_link
"ZUDIO - Faridabad, NHPC Metro Station","Pocket - B, Sectore - 27 , Faridabad - 121003 , Haryana",https://www.zudio.com/apps/s/zudio/storelocator/haryana/faridabad/zudio-faridabad-nhpc-metro-station-z671
"ZUDIO - Delhi, Kalindi Kunj Metro Station","Kalindi Kunj Rd Metro Station , New Delhi - 110025 , Delhi",https://www.zudio.com/apps/s/zudio/storelocator/delhi/newdelhi/zudio-kalindi-kunj-metro-station-z467
"ZUDIO - NAGPUR, JAYANTI NAGARI","Kh. No. 82/1, 82/2, & 82/3, Besa Pipla Road, Manewada , Nagpur - 440034 , Maharashtra",https://www.zudio.com/apps/s/zudio/storelocator/maharashtra/nagpur/zudio-besa-nagpur-z428
"ZUDIO - BENGALURU, YELAHANKA","Star Elite, No.-1234, Major Sandeep Unnikrishnan Rd, New Town Main Rd, Yelahanka , Bengaluru - 560064 , Karnataka",https://www.zudio.com/apps/s/zudio/storelocator/karnataka/bengaluru/zudio-bengaluru-yelahanka-z608
"ZUDIO - THIRUVANANTHAPURAM, POTHENCODE","T K Complex, Santhigiri Post, Poolanthare, Pothencode , Thiruvananthapuram - 695589 , Kerala",https://www.zudio.com/apps/s/zudio/storelocator/kerala/thiruvananthapuram/zudio-pothencode-thiruvananthapuram-z535
"ZUDIO - JODHPUR, PWD COLONY","44/2, PWD Colony, Opp. Harnath Tower , Jodhpur - 342001 , Rajasthan",https://www.zudio.com/apps/s/zudio/storelocator/rajasthan/jodhpur/zudio-pwd-colony-jodhpur-z558
"ZUDIO - SURAT, CITYLIGHT ROAD","FP-108, Block No.146/1 + 144/3, Unit No. UG – 5,6,7&8, Ashirwad High Street, City Light Road , Surat - 395007 , Gujarat",https://www.zudio.com/apps/s/zudio/storelocator/gujarat/surat/zudio-citylight-surat-z600
"ZUDIO - NEW DELHI, CITY CENTRE DWARKA","Plot No-4, Sector-13, Dwarka Walk Mall , New Delhi - 110075 , Delhi",https://www.zudio.com/apps/s/zudio/storelocator/delhi/newdelhi/zudio-dwarka-walkmall-z385
"ZUDIO - GURUGRAM, ELAN MIRACLE","Dwarka Expy, Sector 84 , Gurugram - 122004 , Haryana",https://www.zudio.com/apps/s/zudio/storelocator/haryana/gurugram/zudio-elan-miracle-z412
"ZUDIO - AHMEDABAD, NIKOL-MALABAR PRIME","Malabar Prime, Near Saurashtra Patel Samaj, Bhakti Circle Road, Nikol , Ahmedabad - 382450 , Gujarat",https://www.zudio.com/apps/s/zudio/storelocator/gujarat/ahmedabad/zudio-nikol-malabar-z531
"ZUDIO - VAPI, PLOT NO. 99","Plot No.99, GIDC Vapi Silvassa, Daman Vapi Road , Vapi - 396195 , Gujarat",https://www.zudio.com/apps/s/zudio/storelocator/gujarat/vapi/zudio-vapi-z596
"ZUDIO - STAR BAZAAR, PUNE, PIMPLE NILAKH","Starbazar Survey No 13/1/1-4, New DP Road, Near Sathe Patil Petrol Pump, Pimple Nilakh, Pimpri-Chinchwad , Pune - 411027 , Maharashtra",https://www.zudio.com/apps/s/zudio/storelocator/maharashtra/pune/zudio-pune-pimplenilakh-sm62
"ZUDIO - JAIPUR, MALVIYA NAGAR","86-87, 103-104, Chandrakala Commercial, Kalyan Colony, Malviya Nagar , Jaipur - 302017 , Rajasthan",https://www.zudio.com/apps/s/zudio/storelocator/rajasthan/jaipur/zudio-jaipur-malviya-nagar-z561
"ZUDIO - MUMBAI, POONAM ESTATE","Cluster 2, Building 4, 5, 6, Unit No. 3, Poonam Estate, Mira Bhayandar , Mumbai - 401107 , Maharashtra",https://www.zudio.com/apps/s/zudio/storelocator/maharashtra/mumbai/zudio-bengaluru-nagavara-z553
"ZUDIO - DHARMAPURI, DNC MALL","Ward 28, DNC Vijay Mahal # 15 A, Nethaji ByPass Road , Dharmapuri - 636701 , Tamil Nadu",https://www.zudio.com/apps/s/zudio/storelocator/tamilnadu/dharmapuri/zudio-bengaluru-nagavara-z444
"ZUDIO - KOCHI, THOPPUMPADY","Willingdon 58, Mattancherry Bridge Junction (Caspian Junction), Willingdon Island, Thoppumpady , Kochi - 682005 , Kerala",https://www.zudio.com/apps/s/zudio/storelocator/kerala/kochi/zudio-kochi-z618
"ZUDIO - Surat, Armieda","Armieda, Varachha Main Rd, opp. Varachha, Mini Bazar, crossroads , Surat - 395006 , Gujarat",https://www.zudio.com/apps/s/zudio/storelocator/gujarat/surat/zudio-surat-armieda-z514
"ZUDIO - Chennai, Avadi","Shree PVR Mahal, Vivekananda Nagar, Next to Pantaloons, TNHB MIG V Block , Chennai - 600071 , Tamil nadu",https://www.zudio.com/apps/s/zudio/storelocator/tamilnadu/chennai/zudio-chennai-avadi
"ZUDIO - Indore, Old Palasiya","High Street 22/23, AB Road , Old Palasiya , Opp. Industry House , Indore - 452001 , Madhya Pradesh",https://www.zudio.com/apps/s/zudio/storelocator/madhyapradesh/indore/zudio-indore-old-palasiya
